company_name,product_name,premium_male_40,premium_female_40,is_renewable
메트라이프생명,무배당 메트라이프 폐암및후두암진단보험,1050,1100,False
미래에셋생명,온라인 더 잘고른 미니암보험 무배당,1796,3038,False
메트라이프생명,무배당 메트라이프 간암및췌장암진단보험,1900,1100,False
메트라이프생명,무배당 메트라이프 위암및식도암진단보험,2150,2150,False
KB손보,KB 9회주는 암보험Plus(무배당)(26.01)_3종_2형,2320,5,False
KB손보,KB 9회주는 암보험Plus(무배당)(26.01)_3종_1형,2377,9,False
메트라이프생명,무배당 메트라이프 대장암및소장암진단보험,2950,2300,False
교보생명,교보e암·뇌·심장보험 BASIC (무배당),3230,3220,False
KDB생명,KDB다이렉트 암보험(갱신형)(무),3590,3680,True
KB손보,KB 9회주는 암보험Plus(무배당)(26.01)_2종_2형,4322,101,False
KB손보,KB 9회주는 암보험Plus(무배당)(26.01)_2종_1형,4371,3,False
KB손보,KB 9회주는 암보험Plus(무배당)(26.01)_1종_2형,4776,1,False
KB손보,KB 9회주는 암보험Plus(무배당)(26.01)_1종_1형,4838,3,False
ABL생명,(무)우리WON어린이보험[2형(일반암진단보장형)],4973,2460,False
삼성생명,"삼성 인터넷 암치료보험(2501)(갱신형,무배당)",6950,16593,True
iM라이프,iM 프리미엄건강보험 무배당 2404 1종(암보장형),7598,8412,False
삼성생명,"삼성 인터넷 신간편 암치료보험(2501)(갱신형,무배당) 1종(간편고지형)",9010,21295,True
미래에셋생명,온라인 암보험 무배당 [갱신형],9764,10963,True
롯데손보,(무) 미니암보험(2601)_2종,9975,0,False
AIA생명,(무) 원스톱 프리미엄 암보험 (갱신형) 2종(신일반암직접치료생활비보장) 2형,10164,16960,True
라이나생명,무배당뉴스타트플러스암보험(갱신형)_1형(플러스형),10500,19800,True
AXA손보,(무)AXA첫날부터바로받는암보험(갱신형)2601,11602,2,True
라이나생명,(무)암걱정없는표적치료암보험(갱신형)_실속형,11900,17000,True
라이나생명,(무)첫날부터라이나암보험(갱신형),12000,45338,True
KB손보,KB 실버암 간편건강보험Plus(무배당)(26.01)_1종_1형,12012,4,False
라이나생명,(무)THE간편한첫날부터라이나암보험(갱신형),12200,55161,True
농협손보,"(무) NH다이렉트암보험[1종:종합형,갱신형]2601",12252,8,True
KB손보,KB 실버암 간편건강보험Plus(무배당)(26.01)_1종_2형,12357,3,False
KDB생명,KDB다이렉트 암보험(해약환급금미지급형Ⅲ)(무),12480,8510,False
AIG손보,무배당 AIG 올케어 암보험2601,12743,9,False
AIG손보,무배당 AIG 내심 바라던 암보험2601,12743,9,False
삼성생명,"삼성 인터넷암보험(2404)(갱신형,무배당)",12750,15500,True
AIA생명,(무) AIA 100세 든든 슈퍼 암보험 (갱신형),12850,15010,True
AXA손보,(무)AXA나를지켜주는암보험Ⅱ(갱신형)2601,13090,9,True
KDB생명,KDB든든한 건강보험(암보장)(무),13191,20250,False
ABL생명,(무)우리WON인터넷암보험(갱신형),13620,17670,True
한화손보,한화 다이렉트 내가고른 암보험 (무)2601 1종(연만기형),13695,4,False
DB손보,(무)참좋은암보험2601(CM),13915,7,False
KDB생명,암만생각해도 KDB암보험 2.0(해약환급금미지급형Ⅲ)(무),13994,14594,False
라이나생명,(무)라이나다이렉트암보험(갱신형),14094,20836,True
AXA손보,(무)AXA집중암보장보험(갱신형)2601,14480,8,True
AIA생명,(무) 원스톱 프리미엄 암보험 (갱신형) 2종(신일반암직접치료생활비보장) 1형,14535,23729,True
롯데손보,(무) 암보험(2601)_2종,14850,4,False
미래에셋생명,암 걱정없는 암치료보험(갱신형) 무배당,15134,22928,True
KDB생명,KDB다이렉트 암보험(표준형)(무),15200,10110,False
라이나손보(에이스손보),(무)더핏 원모어 암보험Ⅱ(갱신형),15460,8,True
하나손보,무배당 하나더퍼스트 암보험(다이렉트)(2601),15689,2,False
교보생명,"교보암보험 [D2408](무배당,갱신형)",15978,19350,True
흥국화재,무배당 흥Good 든든한 325 암만 생각해도 간편종합보험(26.03)_(1종)(간편가입형)(납입후 해약환급금지급형의 50‰지급형),16022,133,False
DB생명,(무)e로운 암보험(갱신형)(2601),16026,22480,True
롯데손보,(무) 암보험(2601)_1종,16145,1,False
농협손보,"(무) NEW든든한암보험[1종:갱신형,일반심사형]",16204,0,True
현대해상,(무)현대해상케어더블암치매보험(세만기형)(Hi2601) 4종,16731,5,False
한화생명,한화생명 간편가입 시그니처H암보험 무배당,16791,152100,False
롯데손보,(무) 암보험(2601)_4종,16815,3,False
라이나손보(에이스손보),(무)더핏 원모어 암보험(갱신형),16840,8,True
AIG손보,무배당 AIG 올케어 간편암보험2601,16944,8,False
AIG손보,무배당 AIG 내심 바라던 간편암보험2601,16944,8,False
라이나손보(에이스손보),(무)더핏 간편한 원모어 암보험Ⅱ(갱신형) 2종(355(6대질병)간편심사형),17540,5,True
KDB생명,암만생각해도 KDB암보험 2.0(표준형)(무),17626,17454,False
라이나손보(에이스손보),"(무)더핏 간편한 나만의 종합보험(해약환급금 미지급형, 갱신형) 1종(325(암)간편심사형)",17710,0,True
라이나생명,무배당뉴스타트플러스암보험(갱신형)_2형(일반형),17850,27970,True
농협손보,"(무) NEW든든한암보험[4종:세만기형,325간편심사형]",17987,9,False
롯데손보,(무) 암보험(2601)_3종,18260,1,False
라이나손보(에이스손보),(무)더핏 간편한 나만의 종합보험(갱신형)2509 1종(325(암)간편심사형),18430,5,True
흥국화재,무배당 흥Good 든든한 325 암만 생각해도 간편종합보험(26.03)_(1종)(간편가입형)(해약환급금지급형),18855,3,False
AIA생명,(무) 원스톱 더 큰 드림 암보험 (갱신형),18870,23640,True
삼성화재,"무배당 삼성화재 다이렉트 착!easy 암보험(2601.5)(자동갱신형,일반고지)",18895,117,True
하나손보,무배당 하나더퍼스트 바로받는 암보험(TM) (2601),19227,107,False
라이나손보(에이스손보),(무)더핏 간편한 나만의 종합보험Ⅱ(갱신형)2411 1종(325(암)간편심사형),19400,7,True
동양생명,(무)엔젤New독특한암치료보험(갱신형),19470,20990,True
라이나손보(에이스손보),(무)더핏 간편한 원모어 암보험(갱신형) 2종(355(6대질병)간편심사형),19530,5,True
현대해상,(무)현대해상케어더블암치매보험(세만기형)(Hi2601) 2종,19961,115,False
DB손보,(무)New I'mOK 암보험2601(2종),20460,6,False
NH농협생명,"새로나온NH암보험(갱신형,순수보장형,무배당)_2404",20898,25462,True
메트라이프생명,무배당 360 암보험(갱신형),20970,28440,True
NH농협생명,"NHe편한암보험(갱신형,비갱신형,무배당)_(갱신형, 일반가입형)",21000,17700,True
현대해상,(무)현대해상두배받는암보험(Hi2601) 3종,21019,2,False
교보생명,"교보간편암보험 [D2408](무배당,갱신형)",21128,26428,True
현대해상,(무)현대해상케어더블암치매보험(세만기형)(Hi2601) 3종,21186,6,False
농협손보,"(무) NEW든든한암보험[2종:갱신형,325간편심사형]",21708,9,True
신한라이프생명,"신한(간편가입)케어받는암보험(무배당, 갱신형)",21900,39770,True
삼성화재,"무배당 삼성화재 다이렉트 착!easy 암보험(2601.5)(자동갱신형,간편고지)",22025,8,True
BNP파리바카디프생명,(무)6180실버 암보험(갱신형),22400,13600,True
신한EZ손해보험,신한 SOL 암보험(무배당)(자동갱신형),22927,0,True
라이나생명,무배당라이나퍼펙트케어암보험(갱신형),23110,44470,True
AXA손보,(무)AXA간편집중암보장보험(갱신형)2601,23220,0,True
하나손보,무배당 하나더퍼스트 바로받는 3.5.5 간편 암보험(TM)(2601),23254,5,False
푸본현대생명,ZERO 걱정없는 암보험 무배당/갱신형(2601),23700,33220,True
현대해상,(무)현대해상케어더블암치매보험(세만기형)(Hi2601) 1종,25034,6,False
메리츠화재,(무) 올케어 보장 꽉 채운 암보험(연만기형)2601(1종)(2형),25789,2,False
메리츠화재,(무) 올케어 보장 꽉 채운 암보험(연만기형)2601(3종)(2형),26124,7,False
한화손보,"한화 100세 암치료보장보험 (무)2601 2종(납입면제형, 납입후50‰해약환급금지급형)",26158,3,False
KB라이프생명,KB 착한암보험 무배당(해약환급금 미지급형),26700,15300,False
라이나생명,(무)암걱정없는표적치료암보험(갱신형)_프리미엄형,26700,37800,True
NH농협생명,"행복두배NH통합암보험(갱신형,무배당)_2404",26920,34712,True
하나손보,무배당 하나더퍼스트 바로받는 3.2.5 간편 암보험(TM)(2601),27125,9,False
라이나손보(에이스손보),(무)플러스 암치료비보장보험(갱신형)2404 1종 일반심사형 2형 실속형,27130,8,True
KB라이프생명,KB 착한암보험 무배당,27600,15600,False
현대해상,(무)현대해상두배받는암보험(Hi2601) 2종,27662,8,False
한화손보,한화 다이렉트 내가고른 암보험 (무)2601 2종(세만기형),27778,9,False
라이나손보(에이스손보),(무)더핏 간편한 원모어 암보험Ⅱ(갱신형) 1종(325(암)간편심사형),27800,8,True
메리츠화재,(무) 올케어 보장 꽉 채운 간편한 암보험(연만기형)2601(1종)(2형),27865,6,False
신한라이프생명,"신한(간편가입)꼬박꼬박항암치료비보험(무배당, 해약환급금 미지급형)",27870,29490,False
메리츠화재,(무) 올케어 보장 꽉 채운 간편한 암보험(연만기형)2601(3종)(2형),28249,132,False
메리츠화재,(무) 올케어 보장 꽉 채운 암보험(연만기형)2601(2종)(1형),28681,4,False
푸본현대생명,ZERO 걱정없는 암보험 간편가입 무배당/갱신형(2601),28910,34105,True
메리츠화재,(무) 메리츠 또 걸려도 또 받는 암보험(연만기형)2601(1종)(2형),29249,100,False
한화생명,한화생명 e암보험(비갱신형) 무배당 (비흡연체형),29460,24450,True
한화손보,"한화 100세 암치료보장보험 (무)2601 1종(납입면제형, 기본형)",29542,0,False
롯데손보,"(무) let:care 종합암보험(88플러스원)(2601)_2종(100세/90세/80세만기, 해약환급금 미지급형Ⅱ)",29590,9,False
AIA생명,(무) 원스톱 프리미엄 암보험 (갱신형) 1종(암진단보장) 2형,29860,28465,True
AIA생명,(무) AIA 건강+ 암보험 (갱신형) 2형,29860,28465,True
메리츠화재,(무) 메리츠 또 걸려도 또 받는 암보험(연만기형)2601(3종)(2형),29874,3,False
AIA생명,(무) 안심되는 초간편 건강보험 (갱신형) 1형(암보장형),30020,31910,True
메리츠화재,(무) 올케어 보장 꽉 채운 간편한 암보험(연만기형)2601(2종)(1형),30781,9,False
라이나생명,무배당첫날부터암보험(갱신형),30800,43360,True
라이나손보(에이스손보),(무)더핏 간편한 원모어 암보험(갱신형) 1종(325(암)간편심사형),31170,5,True
DB손보,(무)New I'mOK 암보험2601(7종),31280,6,False
교보생명,교보암·간병평생보장보험 (무배당),31403,29708,False
한화생명,한화생명 e암보험(비갱신형) 무배당 (표준체형),31980,24720,True
NH농협생명,"새로나온NH암보험(갱신형,건강관리형,무배당)_2404",31998,36562,True
신한라이프생명,"신한(간편가입)바로케어받는암보험(무배당, 갱신형)",32169,39488,True
메리츠화재,(무) 메리츠 또 걸려도 또 받는 간편한 암보험(연만기형)2601(1종)(2형),33200,7,False
메리츠화재,(무) 메리츠 또 걸려도 또 받는 암보험(연만기형)2601(2종)(1형),33275,3,False
메리츠화재,(무) 메리츠 또 걸려도 또 받는 간편한 암보험(연만기형)2601(3종)(2형),34022,1,False
롯데손보,"(무) let:care 종합암보험(88플러스원)(2601)_1종(100세/90세/80세만기, 일반형)",34370,9,False
ABL생명,(무)우리WON어린이보험(해약환급금 미지급형)[2형(일반암진단보장형)],34761,30644,False
DB손보,(무)New I'mOK암보험2601(3종),35010,9,False
교보생명,교보간편암평생보장보험 (무배당),35538,34278,False
하나손보,무배당 하나더퍼스트 암보험(TM)(간편심사형)(2601),35589,1,False
롯데손보,"(무) let:simple 간편 암보험(2601)_1종(간편심사Ⅱ,갱신형)",36176,207,True
라이나생명,무배당 라이나초간편암보험(갱신형),36220,54190,True
DB생명,(무)e로운 암보험(해약환급금 미지급형)(2601),37026,33280,False
교보라이프플래닛생명,"(무)교보라플 비갱신암보험(해약환급금 미지급형, 비흡연체)",37207,27479,True
하나손보,"무배당 하나더퍼스트 암보험(2601) 3종(갱신형, 표준형)",37462,101,True
KB손보,KB 다이렉트 내맘대로 암보험(무배당)(26.01),37610,2,False
메리츠화재,(무) 메리츠 또 걸려도 또 받는 간편한 암보험(연만기형)2601(2종)(1형),37643,3,False
신한라이프생명,"신한SOL암보험(무배당, 해약환급금 미지급형)",37890,26250,False
농협손보,(무) NH암뇌심원샷보험[해약환급금미지급형(납입중 0‰/ 납입후50‰)],38041,8,False
ABL생명,(무)우리WON더담은암보험(해약환급금 미지급형)(일반심사형),38184,33558,False
동양생명,무배당우리WON하는실속플러스하나로암보험,38449,36085,False
동양생명,무배당우리WON하는실속하나로암보험,38449,36085,False
DB손보,(무)New I'mOK 암보험2601(1종),39355,5,False
교보라이프플래닛생명,"(무)교보라플 비갱신암보험(해약환급금 미지급형, 표준체)",39454,27761,True
KB손보,슬기로운 간편건강보험(무배당)(26.01)_1종(간편심사형)_암 플랜(유병자),39888,7,False
한화손보,한화 골드클래스 여성 간편건강보험 (무)2601 4종(Lady암플랜(일반고지형)),40030,0,False
AIA생명,(무) AIA 건강+ 암보험 (갱신형) 1형,42190,39335,True
AIA생명,(무) 원스톱 프리미엄 암보험 (갱신형) 1종(암진단보장) 1형,42190,39335,True
ABL생명,(무)우리WON더담은암보험(일반심사형),42540,36420,False
하나손보,무배당 하나더퍼스트 3.0.5 간편 건강보험(간편심사형)(2601) 1종(암집중형),42822,6,False
처브라이프생명,Chubb 매월받는 암생활비보험(갱신형) 무배당,43100,44820,True
한화손보,한화 케어밸런스건강보험 (무)2601(암치료비플랜),44403,6,False
현대해상,(무)현대해상두배받는암보험(Hi2601) 1종,45475,2,False
미래에셋생명,온라인 암보험 무배당 [해약환급금이 없는 유형],45594,32165,False
하나손보,무배당 하나더퍼스트 암보험(TM)(일반심사형)(2601),45601,3,False
신한라이프생명,신한SOL암보험(무배당),45870,30270,False
라이나손보(에이스손보),(무)플러스 암치료비보장보험(갱신형)2404 1종 일반심사형 1형 기본형,46920,7,True
흥국화재,무배당 흥Good 모두 담은 암보험 PLUS(26.01)_(2종)(30년갱신형)(해약환급금 미지급형),47050,9,True
ABL생명,(무)우리WON더담은암보험(해약환급금 미지급형)(간편심사형),47724,45364,False
삼성생명,"삼성 인터넷 비갱신암보험(2601)(무배당, 무해약환급금형)",48420,30600,True
한화생명,한화생명 Need AI 암보험 무배당,49000,40336,False
흥국화재,무배당 흥Good 모두 담은 암보험 PLUS(26.01)_(2종)(20년갱신형)(해약환급금지급형),49300,7,True
한화손보,한화 골드클래스 여성 간편건강보험 (무)2601 2종(Lady암플랜(355여성간편고지형)),49708,0,False
메리츠화재,(무) 올케어 보장 꽉 채운 암보험(세만기형)2601(1종)(3형),50365,7,False
메리츠화재,(무) 올케어 보장 꽉 채운 암보험(세만기형)2601(3종)(3형),50973,8,False
한화생명,한화생명 간편가입 Need AI 암보험 무배당,51578,42930,False
AIG손보,무배당 AIG 든든한 암보험,51614,2,False
미래에셋생명,온라인 암보험 무배당 [기본형],52038,36017,False
신한라이프생명,"신한(간편가입)굿닥터암뇌심치료보험(무배당, 갱신형)",52080,57910,True
흥국화재,무배당 흥Good 모두 담은 암보험 PLUS(26.01)_(2종)(30년갱신형)(해약환급금지급형),52260,3,True
푸본현대생명,ZERO 나를위한 암보험 무배당 갱신형(2404),52438,58794,True
ABL생명,(무)우리WON더담은암보험(간편심사형),52878,49134,False
한화손보,한화 케어밸런스건강보험 (무)2601(암진단비플랜),53250,7,False
교보생명,교보통합암보험 (무배당),53989,38887,False
교보생명,교보통합암보험 [D](무배당),53989,38887,False
메리츠화재,(무) 올케어 보장 꽉 채운 간편한 암보험(세만기형)2601(1종)(3형),54167,5,False
메리츠화재,(무) 올케어 보장 꽉 채운 간편한 암보험(세만기형)2601(3종)(3형),54872,7,False
라이나손보(에이스손보),(무)플러스 암치료비보장보험(갱신형)2404 2종 간편심사형(5년질문) 2형 실속형,57040,5,True
NH농협생명,"새로나온NH암보험(비갱신형, 순수보장형, 무배당)_2404",57078,46162,True
메리츠화재,(무) 올케어 보장 꽉 채운 암보험(세만기형)2601(2종)(1형),60236,6,False
DB손보,(무)New간편암건강보험2601(1종),61913,2,False
메리츠화재,(무) 메리츠 또 걸려도 또 받는 암보험(세만기형)2601(1종)(3형),62612,2,False
AIA생명,(무) AIA 더 안심되는 초간편 건강보험 (갱신형) 1형(암보장형),63600,32100,True
메리츠화재,(무) 메리츠 또 걸려도 또 받는 암보험(세만기형)2601(3종)(3형),64155,5,False
메리츠화재,(무) 올케어 보장 꽉 채운 간편한 암보험(세만기형)2601(2종)(1형),65005,107,False
DB손보,(무)New I'mOK 암보험2601(4종),65440,6,False
교보생명,교보간편통합암보험 (무배당),67892,51545,False
교보생명,교보간편통합암보험 [D](무배당),67892,51545,False
AIG손보,무배당 AIG 든든한 간편암보험(325간편심사형),68393,5,False
NH농협생명,369새로나온NH암보험(무배당),68690,74680,False
처브라이프생명,Chubb New 매월받는 암생활비보험(갱신형) 무배당,69160,73970,True
라이나생명,(무)암으로치료하였어도OK암보험,69550,85800,False
하나손보,"무배당 하나더퍼스트 암보험(2601) 2종(세만기형, 해약환급금미지급형Ⅱ)",69999,8,False
하나생명,(무)Top3 건강보험Ⅱ 암보장형,71100,45300,False
메리츠화재,(무) 메리츠 또 걸려도 또 받는 간편한 암보험(세만기형)2601(1종)(3형),71154,4,False
메리츠화재,(무) 메리츠 또 걸려도 또 받는 간편한 암보험(세만기형)2601(3종)(3형),73069,8,False
하나손보,"무배당 하나더퍼스트 암보험(2601) 1종(세만기형, 표준형)",76366,9,False
메리츠화재,(무) 메리츠 또 걸려도 또 받는 암보험(세만기형)2601(2종)(1형),76601,7,False
DB손보,(무)New간편암건강보험2601(2종),77281,105,False
하나생명,(무)손안에 골라담는 암보험,79000,46000,False
NH농협생명,"행복두배NH통합암보험(비갱신형,무배당)_2404",84920,67662,True
교보라이프플래닛생명,"(무)교보라플 비갱신암보험(만기지급형, 비흡연체)",86100,73230,True
메리츠화재,(무) 메리츠 또 걸려도 또 받는 간편한 암보험(세만기형)2601(2종)(1형),87746,3,False
교보라이프플래닛생명,"(무)교보라플 비갱신암보험(만기지급형, 표준체)",88950,73740,True
NH농협생명,"NHe편한암보험(갱신형,비갱신형,무배당)_(비갱신형, 일반가입형)",89100,54600,True
처브라이프생명,Chubb 간편가입 New 매월받는 암생활비보험(갱신형) 무배당 간편심사형(3.5.5),89670,96270,True
흥국화재,무배당 흥Good 모두 담은 암보험 PLUS(26.01)_(1종)(납입후 해약환급금지급형의 50‰지급형),93100,3,False
라이나손보(에이스손보),(무)플러스 암치료비보장보험(갱신형)2404 2종 간편심사형(5년질문) 1형 기본형,96360,4,True
처브라이프생명,Chubb 간편가입 New 매월받는 암생활비보험(갱신형) 무배당 간편심사형(3.2.5),99020,103580,True
흥국생명,(무)흥국생명언제나안심암보험2602(해약환급금미지급형V2),100500,76800,False
라이나생명,(무)뉴실버암보험(갱신형),101700,51300,True
흥국화재,무배당 흥Good 모두 담은 암보험 PLUS(26.01)_(1종)(해약환급금지급형),111030,7,False
흥국생명,(무)흥국생명언제나안심암보험2602(해약환급금일부지급형),111900,82800,False
NH농협생명,"새로나온NH암보험(비갱신형, 만기환급형, 무배당)_2404",118598,100462,True
AIG손보,무배당 AIG 든든한 간편암보험(305간편심사형),120836,3,False
농협손보,"(무) NEW든든한암보험[3종:세만기형,일반심사형]",121726,8,False
흥국생명,(무)흥국생명언제나안심암보험2602,123300,88800,False
흥국화재,무배당 흥Good 든든한 325 암만 생각해도 간편종합보험(26.03)_(2종)(20년갱신형)(간편가입형)(해약환급금미지급형),127920,2,True
흥국화재,무배당 흥Good 든든한 325 암만 생각해도 간편종합보험(26.03)_(2종)(20년갱신형)(간편가입형)(해약환급금지급형),144660,6,True
한화생명,한화생명 시그니처H암보험 무배당,150490,114420,False
흥국생명,(무)흥국생명다(多)사랑암보험(해약환급금미지급형V2),152109,128867,False
