Col_0,Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Col_18,Col_19,Col_20,Col_21,Col_22,Col_23,Col_24,Col_25,source_file,Col_26,Col_27,Col_28,Col_29
흥국생명,(무)흥국생명다재다능종합보험(해약환급금미지급형V2),주계약,암진단급여금 + 재해장해보험금 + 암진단급여금 + 재해장해보험금 + 암진단급여금 + 재해장해보험금,"피보험자가 암보장개시일 이후에 암으로 진단 확정되었을 때(다만, 최초 1회에 한함)",보험가입금액의 100%,"3,000만원","67,590 원","50,670 원",2.75 %,-,-,88.5 %,88.6 %,95.0 %,-,-,-,-,-,무해지/저해지환급,비갱신형,비유니버셜,TM,2026-02-08,"1. 가입나이 : 0세 ~ 30세(단, 성별, 보험기간, 납입기간별 차등적용) 2. 보험기간 : 90세만기, 100세만기 3. 보험료 예시 및 보험가격지수 산출기준 : 1종(해약환급금 미지급형V2), 2형(암보장형), 주보험 가입금액 3,000만원, (무)소액암보장특약Ⅶ 가입금액 600만원, 5세, 100세만기, 20년납, 월납 4. 보장범위지수 산출기준 : 2종(표준형), 2형(암보장형), 주보험 가입금액 1,000만원, (무)소액암보장특약Ⅶ 가입금액 200만원",file_13.xls,,,,
흥국생명,(무)흥국생명다재다능종합보험,주계약,암진단급여금 + 재해장해보험금 + 암진단급여금 + 재해장해보험금 + 암진단급여금 + 재해장해보험금,"피보험자가 암보장개시일 이후에 암으로 진단 확정되었을 때(다만, 최초 1회에 한함)",보험가입금액의 100%,"3,000만원","84,510 원","61,560 원",2.75 %,-,-,79.4 %,79.2 %,95.0 %,-,-,-,-,-,순수보장,비갱신형,비유니버셜,TM,2026-02-08,"1. 가입나이 : 0세 ~ 30세(단, 성별, 보험기간, 납입기간별 차등적용) 2. 보험기간 : 30세만기, 90세만기, 100세만기 3. 보험료 예시 및 보험가격지수 산출기준 : 2종(표준형), 2형(암보장형), 주보험 가입금액 3,000만원, (무)소액암보장특약Ⅶ 가입금액 600만원, 5세, 100세만기, 20년납, 월납 4. 보장범위지수 산출기준 : 2종(표준형), 2형(암보장형), 주보험 가입금액 1,000만원, (무)소액암보장특약Ⅶ 가입금액 200만원, 40세 남자, 10년만기, 전기납, 월납",file_13.xls,,,,
삼성생명,삼성 슬기로운 취미생활 상해보험(2501)(무배당),주계약,재해골절수술보험금 + 재해골절수술보험금 + 재해골절수술보험금,"보험기간 중 재해로 인하여 ""재해 골절"" 상태가 되고, ""재해골절""의 직접적인 치료를 목적 으로 ""재해골절수술""을 받았을 때 (치아의 파절 제외) (단, 보험연도 기준 연 3회한)",1회당 5만원,"1,000만원","2,700 원","2,700 원",2.00 %,-,-,95.9 %,76.0 %,-,-,-,-,보험기간(1년 초과),순수보장,비갱신형,비유니버셜,대면채널,2025-01-14,"□ 필수기재사항 1. 가입나이 : -1종(골절수술보장형), 2종(스포츠안심보장형) : 20세~만64세 -3종(어린이골절수술보장형): 0세~ 만13세 2. 보험기간 : 1년 3. 보험료 예시기준 : 주보험 1종 보험가입금액 1,000만원, 40세, 남자, 1년만기, 일시납 □ 선택기재사항 1. 보험료 납입기간 : 일시납 2. 보험가격지수 예시 기준 : 주보험 1종 보험가입금액 1,000만원, 40세, 1년만기, 일시납",1588-3114,file_15.xls,,,,
삼성생명,삼성 마음모아 미니상해보험(2403)(무배당),주계약,재해골절(치아파절제외) 진단보험금 + 재해골절(치아파절제외) 진단보험금 + 재해골절(치아파절제외) 진단보험금,"재해로 인하여 ""재해골절""상태가 되었을 때(발생 1회당) ※ 동일한 재해로 인하여 2가지 이상의 골절(복합골절)시 1회만 지급",10만원,"1,000만원","14,400 원","12,000 원",2.00 %,-,-,85.2 %,78.8 %,-,-,-,-,보험기간(1년 이하),순수보장,비갱신형,비유니버셜,CM,2024-03-04,"□ 필수기재사항 1. 가입 나이 : 20세 ~ 만 64세 2. 보험 기간 : 1년 3. 보험료 예시 기준 : 납입기간 일시납, 40세, 가입금액 1,000만원 □ 선택기재사항 1. 가입한도 - 보험가입금액 : 500만원 ~ 1,000만원 2. 보험가격지수 예시기준 - 납입기간 일시납, 40세, 가입금액 1,000만원",1588-3114,file_15.xls,,,,
삼성생명,삼성 s교통상해보험(2501)(무배당),주계약,교통재해사망보험금 + 교통재해사망보험금 + 교통재해사망보험금,"보험기간 중 교통재해분류표에서 정하는 ""교통재해""로 인하여 사망하였을 경우","3,000만원","3,000만원","17,100 원","9,900 원",2.00 %,-,-,134.9 %,216.7 %,-,-,-,-,보험기간(1년 이하),순수보장,비갱신형,비유니버셜,대면채널,2025-01-14,"□ 필수기재사항 1. 가입나이 : 최저 만15세~만64세 2. 보험기간 : 1년만기 3. 보험료 예시기준(비위험) - 주계약 : 가입금액 3,000만원, 1년만기, 일시납 - 특약 : 가입금액 3,000만원, 1년만기, 일시납 □ 선택기재사항 1. 보험료 납입기간 : 일시납 2. 보험가격지수 예시기준 - 주계약 1종(교통재해사망보장형) 가입금액 3,000만원, 40세, 비위험, 1년만기, 일시납 ※ 교통재해장해특약(무배당)은 주보험 1종(교통재해사망보장형) 선택시 부가 가능 ※ 일반자동차탑승중교통재해장해특약(무배당)은 주보험 2종(일반자동차탑승중교통재해사망보장형) 선택시 부가 가능 ※ 대중교통재해장해특약(무배당)은 주보험 3종(대중교통재해사망보장형) 선택시 부가 가능",1588-3114,file_15.xls,,,,
흥국생명,(무)흥국생명 안심케어보험2603_2종 4형,주계약,재해사망보험금 + 재해사망보험금 + 재해사망보험금,피보험자가 보험기간 중 재해로 인하여 사망하였을 때,6억원,"3,000만원 원","3,748,500 원","1,662,300 원",3.00 %,-,-,85.0 %,80.7 %,-,-,-,-,보험기간(1년 초과),순수보장,비갱신형,비유니버셜,대면채널 방카슈랑스 CM,2026-03-03,"1. 가입나이 : 만15세 ~ 70세(단 성별, 보험기간, 납입기간별 차등적용) 2. 보험기간 : 100세만기, 110세 만기 3. 보험료 예시기준 : 2종(표준형) 4형(상해보장형) 가입금액 3,000만원, 40세, 100세만기, 20년납, 월납",1588-2288,file_15.xls,,,,
흥국생명,(무)흥국생명 안심케어보험2603(해약환급금일부지급형)_1종 4형,주계약,재해사망보험금 + 재해사망보험금 + 재해사망보험금,피보험자가 보험기간 중 재해로 인하여 사망하였을 때,6억원,"3,000만원 원","3,449,700 원","1,554,300 원",3.00 %,-,-,89.8 %,87.3 %,-,-,-,-,보험기간(1년 초과),무해지/저해지환급,비갱신형,비유니버셜,대면채널 방카슈랑스 CM,2026-03-03,"1. 가입나이 : 만15세 ~ 70세(단 성별, 보험기간, 납입기간별 차등적용) 2. 보험기간 : 100세만기, 110세 만기 3. 보험료 예시기준 : 1종(50%환급형) 4형(상해보장형) 가입금액 3,000만원, 40세, 100세만기, 20년납, 월납",1588-2288,file_15.xls,,,,
흥국생명,(무)흥국생명오튼튼5.10.5건강보험(갱신형),주계약,고도후유장해보험금 + 고도후유장해보험금 + 고도후유장해보험금,"피보험자가 보험기간 중 보장개시일 이후에 장해분류표 중 동일한 재해로 여러 신체부위의 장해지급률을 더하여 80%이상인 장해상태가 되었을 경우 (다만, 최초 1회에 한함)",보험가입금액의 1000%,"3,000만원","2,520 원",630 원,2.75 %,-,-,111.8 %,137.9 %,-,-,-,-,보험기간(1년 초과),순수보장,갱신형,비유니버셜,대면채널 TM,2026-03-03,"1. 가입나이 : 만15세 ~ 80세(단 성별, 보험기간, 납입기간별 차등적용) 2. 보험기간 : 20년(단, 갱신계약의 경우 1~20년) , 30년(단, 갱신계약의 경우 1~30년) 3. 보험료 예시기준 : 10년고지형, 가입금액 3,000만원, 20년만기, 전기납, 월납, 40세 (단, 자사 최대 가입한도는 1,000만원임)",1588-2288,file_15.xls,,,,
흥국생명,(무)흥국생명 다사랑통합상해보험(갱신형),주계약,경증 재해사고급여금 + 경증 재해사고급여금 + 경증 재해사고급여금,피보험자가 보험기간 중 보장개시일 이후에 재해를 원인으 로 약관 별표2(재해사고분류표)에서 정한 경증재해사고가 발생하였을 경우 (부위별로 연간 1회한),보험가입금액의 10%,"3,000만원","1,533,600 원","1,446,300 원",2.75 %,-,-,124.3 %,114.7 %,-,-,-,-,보험기간(1년 초과),순수보장,갱신형,비유니버셜,대면채널 TM,2026-02-08,"""1. 가입나이 : 만15세 ~ 80세(단 성별, 보험기간, 납입기간별 차등적용) 2. 보험기간 : 20년(단, 갱신계약의 경우 1~20년) , 30년(단, 갱신계약의 경우 1~30년) 3. 보험료 예시기준 : 가입금액 3,000만원, 20년만기, 전기납, 월납, 40세 (단, 자사 최대 가입한도는 10만원임)",1588-2288,file_15.xls,,,,
교보생명,교보e일잘러케어보험(무배당),주계약,재해사망보험금 + 재해사망보험금 + 재해사망보험금,피보험자가 보험기간 중 발생한 재해로 사망하였을 경우,보험가입금액의 100%,"1,000만원",639 원,210 원,2.00 %,-,-,134.8 %,153.2 %,-,-,-,-,보험기간(1년 초과),순수보장,비갱신형,비유니버셜,CM,2026-01-01,"■필수기재사항 1. 가입나이 : 20 ~ 60세 2. 보험기간 : 1년 / 3년 3. 보험료 예시기준 : 보험가입금액 1,000만원, 40세, 1년만기, 월납 ■선택기재사항 1. 납입기간 : 전기납 / 일시납 2. 납입방법 : 월납 / 연납 / 일시납",1588-1001,file_15.xls,,,,
교보생명,교보일잘러케어보험(무배당),주계약,재해사망보험금 + 재해사망보험금 + 재해사망보험금,피보험자가 보험기간 중 발생한 재해로 사망하였을 경우,보험가입금액의 100%,"1,000만원",639 원,210 원,2.00 %,-,-,134.8 %,153.2 %,-,-,-,-,보험기간(1년 초과),순수보장,비갱신형,비유니버셜,대면채널,2026-01-01,"■필수기재사항 1. 가입나이 : 20 ~ 60세 2. 보험기간 : 1년 / 3년 3. 보험료 예시기준 : 보험가입금액 1,000만원, 40세, 1년만기, 월납 ■선택기재사항 1. 납입기간 : 전기납 / 일시납 2. 납입방법 : 월납 / 연납 / 일시납",1588-1001,file_15.xls,,,,
교보생명,교보e대중교통안심보험 (무배당),주계약,대중교통 재해사망보험금 + 대중교통 재해사망보험금 + 대중교통 재해사망보험금,"피보험자가 보험기간 중 ""대중교통 이용 중 교통재해""로 사망하였을 경우",보험가입금액의 100%,"1,000만원","15,750 원","10,740 원",2.00 %,-,-,110.0 %,99.8 %,-,-,-,-,보험기간(1년 이하),순수보장,비갱신형,비유니버셜,CM,2026-01-01,"■필수기재사항 1. 가입나이 : 20세 ~ 60세 2. 보험기간 : 1년 3. 납입기간 : 일시납 ■선택기재사항 1. 보험료 예시기준 : 보험가입금액 1,000만원, 40세, 1년만기, 일시납",1588-1001,file_15.xls,,,,
교보생명,교보e교통안심보험 (무배당),주계약,교통재해사망보험금 + 교통재해사망보험금 + 교통재해사망보험금,"피보험자가 보험기간 중 ""교통재해""로 사망하였을 경우",보험가입금액의 100%,"1,000만원","8,760 원","3,330 원",2.00 %,-,-,149.3 %,152.6 %,-,-,-,-,보험기간(1년 이하),순수보장,비갱신형,비유니버셜,CM,2026-01-01,"■필수기재사항 1. 가입나이 : 20세 ~ 60세 2. 보험기간 : 1년 3. 납입기간 : 일시납 ■선택기재사항 1. 보험료 예시기준 : 보험가입금액 1,000만원, 40세, 1년만기, 일시납",1588-1001,file_15.xls,,,,
교보생명,교보상해케어보험 23.11 (무배당),주계약,강력범죄위로금 + 강력범죄위로금 + 강력범죄위로금,피보험자가 보험기간 중 “강력범죄”를 직접적인 원인으로 “신체피해로 전치 1개월을 초과하는 상해”가 발생하였을 경우 (동일사고에 의한 경우 1회에 한함),300만원(사고 1회당),"1,000만원","3,300 원","2,130 원",2.00 %,-,-,92.5 %,85.6 %,-,-,-,-,보험기간(1년 이하),순수보장,비갱신형,비유니버셜,대면채널,2026-01-01,"■필수기재사항 1. 가입나이 : 20 ~ 60세 2. 보험기간 : 1년 3. 납입기간 : 전기납 ■선택기재사항 1. 보험료 예시기준 : 보험가입금액 1,000만원, 40세, 1년만기, 전기납, 월납",1588-1001,file_15.xls,,,,
교보생명,교보상해보험 [D](무배당)[만기환급형(100%)],주계약,재해사망보험금 + 재해사망보험금 + 재해사망보험금,피보험자가 보험기간 중 발생한 재해로 사망하였을 경우,보험가입금액의 500%,"1,000만원","457,488 원","247,590 원",2.00 %,-,-,1028.2 %,991.8 %,-,-,-,-,보험기간(1년 초과),만기환급,비갱신형,비유니버셜,TM,2025-03-26,"■필수기재사항 1. 가입나이 : 19 ~ 60세 2. 보험기간 : 20년 3. 보험료 예시기준 : 만기환급형(100%), 보험가입금액 1,000만원, 40세, 20년만기, 20년납, 월납, 비위험직 ■선택기재사항 1. 납입기간 : 5년, 10년, 15년, 20년 2. 납입방법 : 월납 / 연납",1588-1001,file_15.xls,,,,
교보생명,교보상해보험 [D](무배당)[순수보장형],주계약,재해사망보험금 + 재해사망보험금 + 재해사망보험금,피보험자가 보험기간 중 발생한 재해로 사망하였을 경우,보험가입금액의 500%,"1,000만원","4,632 원","1,596 원",2.00 %,-,-,159.7 %,165.3 %,-,-,-,-,보험기간(1년 초과),순수보장,비갱신형,비유니버셜,TM,2025-03-26,"■필수기재사항 1. 가입나이 : 19 ~ 60세 2. 보험기간 : 20년 3. 보험료 예시기준 : 순수보장형, 보험가입금액 1,000만원, 40세, 20년만기, 20년납, 월납, 비위험직 ■선택기재사항 1. 납입기간 : 5년, 10년, 15년, 20년 2. 납입방법 : 월납 / 연납",1588-1001,file_15.xls,,,,
DB생명,(무)백년친구 생활보험(2602)(2종:건강보장형),주계약,교통재해사망보험금 + 교통재해사망보험금 + 교통재해사망보험금,보험기간 중 피보험자가 “교통재해”로 인하여 사망하였을 때,"10,000만원","1,000만원 원","45,000 원","37,800 원",3.00 %,-,-,157.1 %,173.2 %,-,-,-,-,보험기간(1년 초과),순수보장,비갱신형,비유니버셜,대면채널 방카슈랑스,2026-02-01,"1. 상품형태: 2종(건강보장형) 2. 보험기간: 10년만기 3. 납입주기: 월납 4. 가입연령: 15세 ~ 최고 75세 5. 보험가격지수 예시기준: 2종(건강보장형), 가입금액형, 가입나이 40세, 보험기간 10년, 2년납, 월납 6. 보험료 예시기준 - 주계약: 2종(건강보장형), 가입금액형, 가입나이 40세, 보험기간 10년, 2년납, 월납 ※기타 자세한 사항은 상품요약서 참조",1588-3131,file_15.xls,,,,
DB생명,(무)백년친구 생활보험(2602)(1종:종합보장형),주계약,교통재해사망보험금 + 교통재해사망보험금 + 교통재해사망보험금,보험기간 중 피보험자가 “교통재해”로 인하여 사망하였을 때,"20,000만원",1000만원 원,"74,700 원","58,200 원",3.00 %,-,-,154.5 %,188 %,-,-,-,-,보험기간(1년 초과),순수보장,비갱신형,비유니버셜,대면채널 방카슈랑스,2026-02-01,"1. 상품형태: 1종(종합보장형) 2. 보험기간: 10년만기 3. 납입주기: 월납 4. 가입연령: 15세 ~ 최고 75세 5. 보험가격지수 예시기준: 1종(종합보장형), 가입금액형, 가입나이 40세, 보험기간 10년, 2년납, 월납 6. 보험료 예시기준 - 주계약: 1종(종합보장형), 가입금액형, 가입나이 40세, 보험기간 10년, 2년납, 월납 ※기타 자세한 사항은 상품요약서 참조",1588-3131,file_15.xls,,,,
DB생명,(무)백년친구 생활보험(2602)(3종:레저보장형),주계약,교통재해사망보험금 + 교통재해사망보험금 + 교통재해사망보험금,보험기간 중 피보험자가 “교통재해”로 인하여 사망하였을 때,"10,000만원","1,000만원 원","30,300 원","21,000 원",3.00 %,-,-,157.4 %,229.8 %,-,-,-,-,보험기간(1년 초과),순수보장,비갱신형,비유니버셜,대면채널 방카슈랑스,2026-02-01,"1. 상품형태: 3종(레저보장형) 2. 보험기간: 10년만기 3. 납입주기: 월납 4. 가입연령: 15세 ~ 최고 75세 5. 보험가격지수 예시기준: 3종(레저보장형), 가입금액형, 가입나이 40세, 보험기간 10년, 2년납, 월납 6. 보험료 예시기준 - 주계약: 3종(레저보장형), 가입금액형, 가입나이 40세, 보험기간 10년, 2년납, 월납 ※기타 자세한 사항은 상품요약서 참조",1588-3131,file_15.xls,,,,
DB생명,(무)백년친구 안심보험(2602)(장해보장형),주계약,장해생활비Ⅰ + 장해생활비Ⅰ + 장해생활비Ⅰ,피보험자가 보험기간 중 「동일한 재해 또는 재해 이외의 동일한 원인」 을 직접적인 원인으로 장해분류표 중 여러 신체부위의 장해지급률을 더하여 60%이상인 장해상태가 되었을 때(최초 1회한),"매월 장해생활자금Ⅰ 지급해당일: 50만원(180회 확정지급)(다만, 계약일로부터 1년미만에 재해 이외의 동일한 원인으로 지급사유 발생시 50% 지급)","1,000만원","1,271,700 원","850,200 원",2.75 %,-,-,69.4 %,64.7 %,-,-,-,-,보험기간(1년 초과),순수보장,비갱신형,비유니버셜,대면채널 방카슈랑스,2026-02-01,"""○ 상품형태: 장해보장형 ○ 가입연령 : 0세 ~ 최고70세 ○ 보험기간 : 110세만기 ○ 납입기간 : 5. 7, 10, 15, 20년납 ○ 보험료 예시 기준 - 가입금액 1,000만원, 40세, 110세만기, 20년납, 월납 ○ 보험가격지수 예시 기준 - 가입금액 3,000만원, 40세, 110세만기, 20년납, 월납 ※기타 자세한 사항은 상품요약서 참조",1588-3131,file_15.xls,,,,
DB생명,(무)백년친구 안심보험(2602)(상해보장형),주계약,재해사망보험금 + 재해사망보험금 + 재해사망보험금,피보험자가 보험기간 중 재해로 인하여 사망하였을 때,2억원,"1,000만원","1,858,800 원","1,305,000 원",2.75 %,-,-,69.3 %,64.5 %,-,-,-,-,보험기간(1년 초과),순수보장,비갱신형,비유니버셜,대면채널 방카슈랑스,2026-02-01,"○ 상품형태: 상해보장형 ○ 가입연령 : 15세 ~ 최고75세 ○ 보험기간 : 110세만기 ○ 납입기간 : 5. 7, 10, 15, 20년납 ○ 보험료 예시 기준 가입금액 1,000만원, 40세, 110세만기, 20년납, 월납 ○ 보험가격지수 예시 기준 -.가입금액 3,000만원, 40세, 110세만기, 20년납, 월납 ※기타 자세한 사항은 상품요약서 참조",1588-3131,file_15.xls,,,,
DB생명,(무)백년친구 New 내가고른 건강보험(갱신형)(2404),주계약,재해사망보험금 + 재해사망보험금 + 재해사망보험금,재해사망시,2.000만원,2.000만원,"1,680 원",720 원,3.00 %,-,-,119.3 %,177.3 %,-,-,-,-,보험기간(1년 초과),순수보장,갱신형,비유니버셜,대면채널 TM,2026-01-01,"1. 상품형태 : 갱신형, 순수보장형 2. 보험기간 : 20년 또는 10년만기 갱신형, 최대 100세 만기 3. 납입기간 : 전기납 4. 가입연령 : 만15세 ~ 최고 70세 5. 보험가격지수 예시기준: 주계약, 20년만기, 전기납, 가입금액 3천만원 기준 6. 보험료 예시기준 : - 주계약, 40세, 20년만기, 전기납, 가입금액 2천만원 기준 - 선택특약, 40세, 20년만기,, 전기납, 가입금액 1천만원 기준",1588-3131,file_15.xls,,,,
동양생명,(무)우리WON하는보장보험(갱신형),주계약,고도재해장해보험금 + 고도재해장해보험금 + 고도재해장해보험금,피보험자가 보험기간 중 보장개시일 이후 「동일한 재해」로 인하여 장해분류표 중 여러 신체부위의 장해지급률을 더하여 80%이상인 장해상태가 되었을 때 (최초1회한),보험가입금액,"5,000만원",390 원,90 원,2.25 %,-,-,87.4 %,88.7 %,-,-,-,-,보험기간(1년 초과),무해지/저해지환급,갱신형,비유니버셜,대면채널 TM 기타,2026-01-01,"1. 가입나이: 25세~최고 80세 2. 보험기간: 20년만기, 30년만기 3. 상품형태: 일반심사형 / 해약환급금미지급형, 표준형(미판매) 4. 보험료 예시기준: 일반심사형, 해약환급금 미지급형, 가입금액 5,000만원, 40세, 20년만기, 전기납 5. 특약보험료 예시기준: 일반심사형, 해약환급금 미지급형, 40세, 20년만기, 전기납 6. 보험가격지수 예시기준: 일반심사형, 해약환급금 미지급형, 가입금액 1,000만원, 40세, 20년만기, 전기납",1577-1004,file_15.xls,,,,
동양생명,"(무)엔젤안심보험(상해보장형,표준형)",주계약,고도장해보험금 + 고도장해보험금 + 고도장해보험금,"피보험자가 보험기간 중 보장개시일 이후 「동일한 재해 또는 재해 이외의 동일한 원인」으로 인하여 장해분류표 중 여러 신체부위의 장해지급률을 더하여 80%이상인 장해상태가 되었을 때 (다만, 최초 1회에 한함)","3억원 (다만, 계약일로부터 1년 미만에 재해 이외의 동일한 원인으로 80%이상인 장해상태가 되었을 때 50%지급)","1,000만원","505,800 원","273,900 원",2.75 %,-,-,95.7 %,89.8 %,-,-,-,-,보험기간(1년 초과),순수보장,비갱신형,비유니버셜,대면채널 방카슈랑스,2026-01-01,"1. 가입나이 : 15세~최대75세 2. 상품형태 : 치매보장형, 생활비보장형(장해), 상해보장형 / 해약환급금 일부지급형Ⅲ, 표준형 3. 보험기간 : 90·100·110세만기 4. 보험료 예시기준: 상해보장형, 표준형, 보험가입금액 1,000만원, 40세, 90세만기, 20년납, 월납 5. 보험가격지수 예시기준: 상해보장형, 표준형, 보험가입금액 1,000만원, 40세, 90세만기, 20년납, 월납 6. 확정이율 : 10년 이내 2.75%, 10년 초과 2.00%",1577-1004,file_15.xls,,,,
동양생명,"(무)엔젤안심보험(생활비보장형(장해),해약환급금 일부지급형Ⅲ)",주계약,장해생활자금Ⅰ + 장해생활자금Ⅰ + 장해생활자금Ⅰ,"피보험자가 보험기간 중 보장개시일 이후 「동일한 재해 또는 재해 이외의 동일한 원인」으로 인하여 장해분류표 중 여러 신체부위의 장해지급률을 더하여 50%이상인 장해상태가 되었을 때 (다만, 최초 1회에 한함)","매월 장해생활자금Ⅰ 지급해당일 : 10만원 (180회 확정지급) (다만, 계약일로부터 1년 미만에 재해 이외의 동일한 원인으로 50%이상인 장해상태가 되었을 때 매월 장해생활자금Ⅰ 지급해당일에 5만원 지급)","1,000만원","359,100 원","224,100 원",2.75 %,-,-,98.9 %,92.2 %,-,-,-,-,보험기간(1년 초과),무해지/저해지환급,비갱신형,비유니버셜,대면채널 방카슈랑스,2026-01-01,"1. 가입나이 : 0세~최대75세 2. 상품형태 : 치매보장형, 생활비보장형(장해), 상해보장형 / 해약환급금 일부지급형Ⅲ, 표준형 3. 보험기간 : 90·100·110세만기 4. 보험료 예시기준: 생활비보장형(장해), 해약환급금 일부지급형Ⅲ, 보험가입금액 1,000만원, 40세, 90세만기, 20년납, 월납 5. 보험가격지수 예시기준: 생활비보장형(장해), 해약환급금 일부지급형Ⅲ, 보험가입금액 1,000만원, 40세, 90세만기, 20년납, 월납 6. 확정이율 : 10년 이내 2.75%, 10년 초과 2.00%",1577-1004,file_15.xls,,,,
동양생명,"(무)엔젤안심보험(생활비보장형(장해), 표준형)",주계약,장해생활자금Ⅰ + 장해생활자금Ⅰ + 장해생활자금Ⅰ,"피보험자가 보험기간 중 보장개시일 이후 「동일한 재해 또는 재해 이외의 동일한 원인」으로 인하여 장해분류표 중 여러 신체부위의 장해지급률을 더하여 50%이상인 장해상태가 되었을 때 (다만, 최초 1회에 한함)","매월 장해생활자금Ⅰ 지급해당일 : 10만원 (180회 확정지급) (다만, 계약일로부터 1년 미만에 재해 이외의 동일한 원인으로 50%이상인 장해상태가 되었을 때 매월 장해생활자금Ⅰ 지급해당일에 5만원 지급)","1,000만원","365,400 원","226,800 원",2.75 %,-,-,96.5 %,89.4 %,-,-,-,-,보험기간(1년 초과),순수보장,비갱신형,비유니버셜,대면채널 방카슈랑스,2026-01-01,"1. 가입나이 : 0세~최대75세 2. 상품형태 : 치매보장형, 생활비보장형(장해), 상해보장형 / 해약환급금 일부지급형Ⅲ, 표준형 3. 보험기간 : 90·100·110세만기 4. 보험료 예시기준: 생활비보장형(장해), 표준형, 보험가입금액 1,000만원, 40세, 90세만기, 20년납, 월납 5. 보험가격지수 예시기준: 생활비보장형(장해), 표준형, 보험가입금액 1,000만원, 40세, 90세만기, 20년납, 월납 6. 확정이율 : 10년 이내 2.75%, 10년 초과 2.00%",1577-1004,file_15.xls,,,,
동양생명,"(무)엔젤안심보험(상해보장형,해약환급금 일부지급형Ⅲ)",주계약,고도장해보험금 + 고도장해보험금 + 고도장해보험금,"피보험자가 보험기간 중 보장개시일 이후 「동일한 재해 또는 재해 이외의 동일한 원인」으로 인하여 장해분류표 중 여러 신체부위의 장해지급률을 더하여 80%이상인 장해상태가 되었을 때 (다만, 최초 1회에 한함)","3억원 (다만, 계약일로부터 1년 미만에 재해 이외의 동일한 원인으로 80%이상인 장해상태가 되었을 때 50%지급)","1,000만원","497,700 원","270,900 원",2.75 %,-,-,98.2 %,92.8 %,-,-,-,-,보험기간(1년 초과),무해지/저해지환급,비갱신형,비유니버셜,대면채널 방카슈랑스,2026-01-01,"1. 가입나이 : 15세~최대75세 2. 상품형태 : 치매보장형, 생활비보장형(장해), 상해보장형 / 해약환급금 일부지급형Ⅲ, 표준형 3. 보험기간 : 90·100·110세만기 4. 보험료 예시기준: 상해보장형, 해약환급금 일부지급형Ⅲ, 보험가입금액 1,000만원, 40세, 90세만기, 20년납, 월납 5. 보험가격지수 예시기준: 상해보장형, 해약환급금 일부지급형Ⅲ, 보험가입금액 1,000만원, 40세, 90세만기, 20년납, 월납 6. 확정이율 : 10년 이내 2.75%, 10년 초과 2.00%",1577-1004,file_15.xls,,,,
